station_code,station_name,division,zone,chainage_km,latitude,longitude,altitude_m,platform_count,junction_category,electrification_status,kavach_atp_installed
NDLS,New Delhi,Delhi,NR,0.00,28.613900,77.209000,215.00,16,High Density Terminal Hub,25kV AC,1
GZB,Ghaziabad Junction,Delhi,NR,26.00,28.669200,77.453800,214.00,6,Interlocking Junction Hub,25kV AC,1
ALJN,Aligarh Junction,Prayagraj,NCR,131.00,27.897400,78.088000,187.00,7,Intermediate Junction,25kV AC,1
TDL,Tundla Junction,Prayagraj,NCR,209.00,27.206900,78.238400,167.00,5,Crew Change & Freight Divert,25kV AC,1
ETW,Etawah Junction,Prayagraj,NCR,301.00,26.776900,79.030600,153.00,5,Main Bypass Junction,25kV AC,1
CNB,Kanpur Central,Prayagraj,NCR,440.00,26.453900,80.350700,126.00,10,Central Divisional Mega-Hub,25kV AC,1
FTP,Fatehpur,Prayagraj,NCR,518.00,25.928600,80.813000,118.00,4,Intermediate Junction,25kV AC,1
PRYJ,Prayagraj Junction,Prayagraj,NCR,635.00,25.435800,81.846300,102.00,10,Headquarters Divisional Hub,25kV AC,1
MZP,Mirzapur,Prayagraj,NCR,724.00,25.133700,82.564400,85.00,4,River Corridor Hub,25kV AC,1
DDU,Pt. Deen Dayal Upadhyaya Jn,Pt DDU,ECR,787.00,25.281800,83.120600,76.00,8,Marshalling & Strategic Yard,25kV AC,1
BSB,Varanasi Junction,Lucknow,NR,805.00,25.326800,82.987600,80.00,9,High-Priority Terminal Hub,25kV AC,1
