track_id,source_station,destination_station,segment_distance_km,track_type,speed_limit_kmh,gradient_per_thousand,electrification_type,kavach_rfid_tags_count,axle_load_tonnes
TRK-NDLS-GZB,NDLS,GZB,26.00,Quadruple Track Auto Block,130.00,1.20,25kV AC 50Hz,52,25.0
TRK-GZB-ALJN,GZB,ALJN,105.00,Double Line Automatic Signalling,160.00,0.80,25kV AC 50Hz,210,25.0
TRK-ALJN-TDL,ALJN,TDL,78.00,Double Line High-Speed Corridor,160.00,0.50,25kV AC 50Hz,156,25.0
TRK-TDL-ETW,TDL,ETW,92.00,Double Line Automatic Block,160.00,0.70,25kV AC 50Hz,184,25.0
TRK-ETW-CNB,ETW,CNB,139.00,Double Line Automatic Block,160.00,0.60,25kV AC 50Hz,278,25.0
TRK-CNB-FTP,CNB,FTP,78.00,Double Line Dedicated Passenger,160.00,0.40,25kV AC 50Hz,156,25.0
TRK-FTP-PRYJ,FTP,PRYJ,117.00,Double Line Automated Block,160.00,0.50,25kV AC 50Hz,234,25.0
TRK-PRYJ-MZP,PRYJ,MZP,89.00,Double Line River Corridor,140.00,1.40,25kV AC 50Hz,178,25.0
TRK-MZP-DDU,MZP,DDU,63.00,Triple Track High Density,130.00,1.10,25kV AC 50Hz,126,25.0
TRK-DDU-BSB,DDU,BSB,18.00,Double Line River Bridge Link,110.00,2.00,25kV AC 50Hz,40,25.0
